"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCACC_001";"11";"1160";"Vindafjord";"2024";363.47;1820.58;"Yellow";"Yellow"
"ENCACC_001";"11";"1160";"Vindafjord";"Endring 2018-2024";NA;1677.95;"NA";"Yellow"
"ENCACC_001";"15";"1505";"Kristiansund";"2018";106.11;106.11;"Yellow";"Yellow"
"ENCACC_001";"15";"1505";"Kristiansund";"2019";90.66;196.77;"Yellow";"Yellow"
"ENCACC_001";"15";"1505";"Kristiansund";"2020";117.61;314.38;"Yellow";"Yellow"
"ENCACC_001";"15";"1505";"Kristiansund";"2021";100.72;415.1;"Yellow";"Yellow"
"ENCACC_001";"15";"1505";"Kristiansund";"2022";109.43;524.53;"Yellow";"Yellow"
"ENCACC_001";"15";"1505";"Kristiansund";"2023";73.36;597.89;"Green";"Yellow"
"ENCACC_001";"15";"1505";"Kristiansund";"2024";40.34;638.23;"Yellow";"Yellow"
"ENCACC_001";"15";"1505";"Kristiansund";"Endring 2018-2024";NA;532.12;"NA";"Yellow"
"ENCACC_001";"15";"1506";"Molde";"2018";167.16;167.16;"Yellow";"Yellow"
"ENCACC_001";"15";"1506";"Molde";"2019";309.68;476.84;"Yellow";"Yellow"
"ENCACC_001";"15";"1506";"Molde";"2020";335.09;811.93;"Yellow";"Yellow"
"ENCACC_001";"15";"1506";"Molde";"2021";371.13;1183.06;"Yellow";"Yellow"
"ENCACC_001";"15";"1506";"Molde";"2022";889.63;2072.69;"Yellow";"Yellow"
"ENCACC_001";"15";"1506";"Molde";"2023";406.9;2479.59;"Green";"Yellow"
"ENCACC_001";"15";"1506";"Molde";"2024";165.26;2644.85;"Yellow";"Yellow"
"ENCACC_001";"15";"1506";"Molde";"Endring 2018-2024";NA;2477.69;"NA";"Yellow"
"ENCACC_001";"15";"1508";"Ålesund";"2018";158.75;158.75;"Yellow";"Yellow"
"ENCACC_001";"15";"1508";"Ålesund";"2019";254.56;413.31;"Yellow";"Yellow"
"ENCACC_001";"15";"1508";"Ålesund";"2020";483.32;896.63;"Yellow";"Yellow"
"ENCACC_001";"15";"1508";"Ålesund";"2021";510.6;1407.23;"Yellow";"Yellow"
"ENCACC_001";"15";"1508";"Ålesund";"2022";525.53;1932.76;"Yellow";"Yellow"
"ENCACC_001";"15";"1508";"Ålesund";"2023";400.7;2333.46;"Green";"Yellow"
"ENCACC_001";"15";"1508";"Ålesund";"2024";85.61;2419.07;"Yellow";"Yellow"
"ENCACC_001";"15";"1508";"Ålesund";"Endring 2018-2024";NA;2260.32;"NA";"Yellow"
"ENCACC_001";"15";"1511";"Vanylven";"2018";44.3;44.3;"Yellow";"Yellow"
"ENCACC_001";"15";"1511";"Vanylven";"2019";92.52;136.82;"Yellow";"Yellow"
"ENCACC_001";"15";"1511";"Vanylven";"2020";53.47;190.29;"Yellow";"Yellow"
"ENCACC_001";"15";"1511";"Vanylven";"2021";90.34;280.63;"Yellow";"Yellow"
"ENCACC_001";"15";"1511";"Vanylven";"2022";128.19;408.82;"Yellow";"Yellow"
"ENCACC_001";"15";"1511";"Vanylven";"2023";104.32;513.14;"Green";"Yellow"
"ENCACC_001";"15";"1511";"Vanylven";"2024";939.65;1452.79;"Yellow";"Yellow"
"ENCACC_001";"15";"1511";"Vanylven";"Endring 2018-2024";NA;1408.49;"NA";"Yellow"
"ENCACC_001";"15";"1514";"Sande";"2018";5.64;5.64;"Yellow";"Yellow"
"ENCACC_001";"15";"1514";"Sande";"2019";23.77;29.41;"Yellow";"Yellow"
"ENCACC_001";"15";"1514";"Sande";"2020";13;42.41;"Yellow";"Yellow"
"ENCACC_001";"15";"1514";"Sande";"2021";44.75;87.16;"Yellow";"Yellow"
"ENCACC_001";"15";"1514";"Sande";"2022";19.97;107.13;"Yellow";"Yellow"
"ENCACC_001";"15";"1514";"Sande";"2023";51.09;158.22;"Green";"Yellow"
"ENCACC_001";"15";"1514";"Sande";"2024";3.69;161.91;"Yellow";"Yellow"
"ENCACC_001";"15";"1514";"Sande";"Endring 2018-2024";NA;156.27;"NA";"Yellow"
"ENCACC_001";"15";"1515";"Herøy (Møre og Romsdal)";"2018";25.85;25.85;"Yellow";"Yellow"
"ENCACC_001";"15";"1515";"Herøy (Møre og Romsdal)";"2019";57.91;83.76;"Yellow";"Yellow"
"ENCACC_001";"15";"1515";"Herøy (Møre og Romsdal)";"2020";64.57;148.33;"Yellow";"Yellow"
"ENCACC_001";"15";"1515";"Herøy (Møre og Romsdal)";"2021";92.46;240.79;"Yellow";"Yellow"
"ENCACC_001";"15";"1515";"Herøy (Møre og Romsdal)";"2022";49.09;289.88;"Yellow";"Yellow"
"ENCACC_001";"15";"1515";"Herøy (Møre og Romsdal)";"2023";109;398.88;"Green";"Yellow"
"ENCACC_001";"15";"1515";"Herøy (Møre og Romsdal)";"2024";39.8;438.68;"Yellow";"Yellow"
"ENCACC_001";"15";"1515";"Herøy (Møre og Romsdal)";"Endring 2018-2024";NA;412.83;"NA";"Yellow"
"ENCACC_001";"15";"1516";"Ulstein";"2018";20.71;20.71;"Yellow";"Yellow"
"ENCACC_001";"15";"1516";"Ulstein";"2019";13.2;33.91;"Yellow";"Yellow"
"ENCACC_001";"15";"1516";"Ulstein";"2020";83.82;117.73;"Yellow";"Yellow"
"ENCACC_001";"15";"1516";"Ulstein";"2021";81.29;199.02;"Yellow";"Yellow"
"ENCACC_001";"15";"1516";"Ulstein";"2022";40.56;239.58;"Yellow";"Yellow"
"ENCACC_001";"15";"1516";"Ulstein";"2023";52.72;292.3;"Green";"Yellow"
"ENCACC_001";"15";"1516";"Ulstein";"2024";15.04;307.34;"Yellow";"Yellow"
