"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"33";"3301";"Drammen";"Lågurtfuruskog";"2018-2024";0.7;"Yellow"
"ENCREC_005";"33";"3301";"Drammen";"Semi-naturlig eng";"2018-2024";0.1;"Yellow"
"ENCREC_005";"33";"3301";"Drammen";"Semi-naturlig strandeng";"2018-2024";1.15;"Yellow"
"ENCREC_005";"33";"3303";"Kongsberg";"Slåttemark";"2018-2024";3.55;"Yellow"
"ENCREC_005";"33";"3305";"Ringerike";"Flomskogsmark";"2018-2024";0.89;"Yellow"
"ENCREC_005";"33";"3305";"Ringerike";"Gammel furuskog med gamle trær";"2018-2024";2.06;"Yellow"
"ENCREC_005";"33";"3305";"Ringerike";"Gammel granskog med gamle trær";"2018-2024";4.74;"Yellow"
"ENCREC_005";"33";"3305";"Ringerike";"Kalkbarskog";"2018-2024";4.71;"Yellow"
"ENCREC_005";"33";"3305";"Ringerike";"Kalkfuruskog";"2018-2024";0.05;"Yellow"
"ENCREC_005";"33";"3305";"Ringerike";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"3305";"Ringerike";"Lågurtfuruskog";"2018-2024";0.28;"Yellow"
"ENCREC_005";"33";"3305";"Ringerike";"Rik sandfuruskog";"2018-2024";0.12;"Yellow"
"ENCREC_005";"33";"3310";"Hole";"Hule eiker";"2018-2024";0.15;"Yellow"
"ENCREC_005";"33";"3310";"Hole";"Kalkbarskog";"2018-2024";1.86;"Yellow"
"ENCREC_005";"33";"3310";"Hole";"Kalkedellauvskog";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"3310";"Hole";"Lågurtedellauvskog";"2018-2024";0.39;"Yellow"
"ENCREC_005";"33";"3310";"Hole";"Lågurtfuruskog";"2018-2024";0.33;"Yellow"
"ENCREC_005";"33";"3310";"Hole";"Naturbeitemark";"2018-2024";1.06;"Orange"
"ENCREC_005";"33";"3310";"Hole";"Rik sandfuruskog";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"3310";"Hole";"Åpen kalkmark";"2018-2024";0.3;"Yellow"
"ENCREC_005";"33";"3312";"Lier";"Gammel furuskog med gamle trær";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"3312";"Lier";"Hule eiker";"2018-2024";1.32;"Yellow"
"ENCREC_005";"33";"3312";"Lier";"Kalkrik alm-lind-hasselskog";"2018-2024";1.24;"Yellow"
"ENCREC_005";"33";"3312";"Lier";"Lågurtfuruskog";"2018-2024";4.45;"Yellow"
"ENCREC_005";"33";"3312";"Lier";"Rik edellauvskog";"2018-2024";2.72;"Yellow"
"ENCREC_005";"33";"3312";"Lier";"Slåttemark";"2018-2024";0.04;"Yellow"
"ENCREC_005";"33";"3314";"Øvre Eiker";"Kalkrik alm-lind-hasselskog";"2018-2024";4.19;"Yellow"
"ENCREC_005";"33";"3314";"Øvre Eiker";"Naturbeitemark";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"3314";"Øvre Eiker";"Ravinedal";"2018-2024";0.49;"Yellow"
"ENCREC_005";"33";"3318";"Krødsherad";"Boreal hei";"2018-2024";2.76;"Yellow"
"ENCREC_005";"33";"3318";"Krødsherad";"Gammel fattig sumpskog";"2018-2024";1.36;"Yellow"
"ENCREC_005";"33";"3318";"Krødsherad";"Gammel granskog med gamle trær";"2018-2024";0.02;"Yellow"
"ENCREC_005";"33";"3318";"Krødsherad";"Høgereligende og nordlig nedbørsmyr";"2018-2024";27.02;"Yellow"
"ENCREC_005";"33";"3318";"Krødsherad";"Lågurtfuruskog";"2018-2024";0.3;"Yellow"
"ENCREC_005";"33";"3320";"Flå";"Gammel grandominert naturskog";"2018-2024";2.09;"Yellow"
"ENCREC_005";"33";"3320";"Flå";"Gammel granskog";"2018-2024";11.23;"Yellow"
"ENCREC_005";"33";"3322";"Nesbyen";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";2.42;"Yellow"
"ENCREC_005";"33";"3322";"Nesbyen";"Rik barskog";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"3322";"Nesbyen";"Semi-naturlig eng";"2018-2024";0.63;"Yellow"
"ENCREC_005";"33";"3324";"Gol";"Boreal hei";"2018-2024";10.53;"Yellow"
"ENCREC_005";"33";"3324";"Gol";"Naturbeitemark";"2018-2024";11.31;"Yellow"
"ENCREC_005";"33";"3324";"Gol";"Slåttemark";"2018-2024";0.41;"Yellow"
"ENCREC_005";"33";"3324";"Gol";"Slåttemyr";"2018-2024";0.46;"Yellow"
"ENCREC_005";"33";"3326";"Hemsedal";"Boreal hei";"2018-2024";1.1;"Yellow"
"ENCREC_005";"33";"3326";"Hemsedal";"Eng-aktig sterkt endret fastmark";"2018-2024";0.25;"Yellow"
"ENCREC_005";"33";"3326";"Hemsedal";"Naturbeitemark";"2018-2024";4.03;"Yellow"
"ENCREC_005";"33";"3326";"Hemsedal";"Semi-naturlig eng";"2018-2024";1.53;"Yellow"
"ENCREC_005";"33";"3328";"Ål";"Boreal hei";"2018-2024";11.86;"Yellow"
"ENCREC_005";"33";"3328";"Ål";"Naturbeitemark";"2018-2024";1.47;"Yellow"
"ENCREC_005";"33";"3328";"Ål";"Slåttemark";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"3332";"Sigdal";"Boreal hei";"2018-2024";12.31;"Yellow"
"ENCREC_005";"33";"3332";"Sigdal";"Gammel granskog med gamle trær";"2018-2024";6.51;"Yellow"
"ENCREC_005";"33";"3332";"Sigdal";"Gammel granskog med liggende død ved";"2018-2024";0.48;"Yellow"
"ENCREC_005";"33";"3332";"Sigdal";"Semi-naturlig eng";"2018-2024";0.13;"Yellow"
"ENCREC_005";"33";"3332";"Sigdal";"Slåttemark";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"3334";"Flesberg";"Eng-aktig sterkt endret fastmark";"2018-2024";0.1;"Yellow"
