"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_002";"56";"Finnmark – Finnmárku – Finmarkku";"2018";33.56;33.56;"Yellow";"Yellow"
"ENCREC_002";"56";"Finnmark – Finnmárku – Finmarkku";"2019";93.38;126.94;"Yellow";"Yellow"
"ENCREC_002";"56";"Finnmark – Finnmárku – Finmarkku";"2020";125.4;252.34;"Yellow";"Yellow"
"ENCREC_002";"56";"Finnmark – Finnmárku – Finmarkku";"2021";221.54;473.88;"Yellow";"Yellow"
"ENCREC_002";"56";"Finnmark – Finnmárku – Finmarkku";"2022";136.06;609.94;"Yellow";"Yellow"
"ENCREC_002";"56";"Finnmark – Finnmárku – Finmarkku";"2023";133.91;743.85;"Yellow";"Yellow"
"ENCREC_002";"56";"Finnmark – Finnmárku – Finmarkku";"2024";46.92;790.77;"Yellow";"Yellow"
"ENCREC_002";"56";"Finnmark – Finnmárku – Finmarkku";"Endring 2018-2024";NA;757.21;"NA";"Yellow"
"ENCREC_001";"Totalt";"Totalt";"2018";6933.17;6933.17;"Yellow";"Yellow"
"ENCREC_001";"Totalt";"Totalt";"2019";10911.62;17844.79;"Yellow";"Yellow"
"ENCREC_001";"Totalt";"Totalt";"2020";17106.13;34950.92;"Yellow";"Yellow"
"ENCREC_001";"Totalt";"Totalt";"2021";20811.55;55762.47;"Yellow";"Yellow"
"ENCREC_001";"Totalt";"Totalt";"2022";16995.09;72757.56;"Yellow";"Yellow"
"ENCREC_001";"Totalt";"Totalt";"2023";13550.63;86308.19;"Yellow";"Yellow"
"ENCREC_001";"Totalt";"Totalt";"2024";10637.59;96945.78;"Yellow";"Yellow"
"ENCREC_001";"Totalt";"Totalt";"Endring 2018-2024";NA;90012.61;"NA";"Yellow"
"ENCREC_002";"Totalt";"Totalt";"2018";5772.48;5772.48;"Yellow";"Yellow"
"ENCREC_002";"Totalt";"Totalt";"2019";8575.36;14347.84;"Yellow";"Yellow"
"ENCREC_002";"Totalt";"Totalt";"2020";13523.73;27871.57;"Yellow";"Yellow"
"ENCREC_002";"Totalt";"Totalt";"2021";17175.42;45046.99;"Yellow";"Yellow"
"ENCREC_002";"Totalt";"Totalt";"2022";13674.08;58721.07;"Yellow";"Yellow"
"ENCREC_002";"Totalt";"Totalt";"2023";10556.37;69277.44;"Yellow";"Yellow"
"ENCREC_002";"Totalt";"Totalt";"2024";8831.46;78108.9;"Yellow";"Yellow"
"ENCREC_002";"Totalt";"Totalt";"Endring 2018-2024";NA;72336.42;"NA";"Yellow"
